name,delta_analytical,gamma_analytical,vega_analytical,delta_estimated,gamma_estimated,vega_estimated
SPY190215C00220000,0.9816697,0.0015550,1.9261385,0.9816697,0.0011369,11.8295682
SPY190215C00230000,0.9641201,0.0029547,3.3784689,0.9641201,0.0028422,16.6281025
SPY190215C00235000,0.9761718,0.0026662,2.4049809,0.9761718,0.0025580,18.4450427
SPY190215C00238000,0.9721579,0.0032073,2.7396618,0.9721579,0.0028422,20.7306123
SPY190215C00240000,0.9833941,0.0024680,1.7703208,0.9833941,0.0028422,19.9500214
SPY190215C00241000,0.9704742,0.0036613,2.8767555,0.9704742,0.0048317,23.0957750
SPY190215C00242000,0.9856326,0.0023966,1.5633884,0.9856326,0.0019895,20.5046146
SPY190215C00243000,0.9660251,0.0042578,3.2305129,0.9660251,0.0034106,25.1122226
SPY190215C00244000,0.9568929,0.0050286,3.9225248,0.9568929,0.0048317,26.1121779
SPY190215C00245000,0.9516086,0.0055401,4.3046130,0.9516086,0.0056843,26.9195304
SPY190215C00246000,0.9617195,0.0050967,3.5621242,0.9617195,0.0042633,28.3490467
SPY190215C00247000,0.9753596,0.0041043,2.4736453,0.9753596,0.0034106,28.3572177
SPY190215C00248000,0.9728747,0.0045375,2.6807309,0.9728747,0.0048317,30.0457646
SPY190215C00250000,0.9700670,0.0052574,2.9096368,0.9700670,0.0056843,33.3096860
SPY190215C00251000,0.9395199,0.0079680,5.1353700,0.9395199,0.0076739,33.9193427
SPY190215C00252000,0.9646111,0.0063741,3.3405307,0.9646111,0.0059686,37.2481796
SPY190215C00253000,0.9567626,0.0074836,3.9320938,0.9567626,0.0071054,39.3076273
SPY190215C00254000,0.9407616,0.0092187,5.0525970,0.9407616,0.0093792,40.0014011
SPY190215C00255000,0.9663633,0.0072815,3.2040364,0.9663633,0.0076739,43.8284843
SPY190215C00256000,0.9539155,0.0091741,4.1393352,0.9539155,0.0090949,46.6598299
SPY190215C00257000,0.9334452,0.0116174,5.5325278,0.9334452,0.0116529,46.7960534
SPY190215C00258000,0.9546070,0.0103717,4.0893400,0.9546070,0.0105160,53.3652495
SPY190215C00259000,0.9409217,0.0126714,5.0418890,0.9409217,0.0122213,55.5473864
SPY190215C00260000,0.9409396,0.0136821,5.0406894,0.9409396,0.0144951,60.0887959
SPY190215C00262000,0.9191308,0.0185067,6.4213282,0.9191308,0.0187583,65.0937635
SPY190215C00263000,0.9147231,0.0208030,6.6828194,0.9147231,0.0216005,70.2705305
SPY190215C00264000,0.9005609,0.0243224,7.4878185,0.9005609,0.0250111,72.1745461
SPY190215C00265000,0.8845512,0.0284666,8.3387404,0.8845512,0.0281375,73.4239080
SPY190215C00266000,0.8584682,0.0336174,9.6062420,0.8584682,0.0329692,69.4811793
SPY190215C00267000,0.8338012,0.0394492,10.6846356,0.8338012,0.0397904,66.4012291
SPY190215C00268000,0.8037780,0.0464089,11.8567324,0.8037780,0.0457590,60.7043663
SPY190215C00269000,0.7573635,0.0534719,13.3976455,0.7573635,0.0537170,46.3265509
SPY190215C00270000,0.7047417,0.0605839,14.7878354,0.7047417,0.0602540,30.9461509
SPY190215C00271000,0.6446102,0.0672412,15.9558296,0.6446102,0.0673595,16.0404919
SPY190215C00272000,0.5774678,0.0731832,16.7681212,0.5774678,0.0730438,4.6150349
SPY190215C00273000,0.5031323,0.0770287,17.0908485,0.5031323,0.0770228,-0.0123559
SPY190215C00274000,0.4248419,0.0774287,16.7871666,0.4248419,0.0774492,5.6041044
SPY190215C00275000,0.3469803,0.0743243,15.8181558,0.3469803,0.0744649,22.0987790
SPY190215C00276000,0.2732765,0.0680665,14.2507515,0.2732765,0.0684963,46.7649072
SPY190215C00277000,0.2088892,0.0591785,12.3085707,0.2088892,0.0591882,72.8792935
SPY190215C00278000,0.1546784,0.0491947,10.1946600,0.1546784,0.0493827,94.9375514
